case_id,implementation_status,family,difficulty,parse_status,expected_intent,predicted_intent,expected_answerability,predicted_answerability,expected_behavior_class,predicted_behavior_class,intent_correct,answerability_correct,behavior_class_correct,evidence_precision,evidence_recall,warning_precision,warning_recall,missing_field_recall,useful_refusal_correct,partial_answer_correct
R2-016,current,OBJ,easy,parsed,objective_value,objective_value,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-017,current,OBJ,easy,parsed,objective_delta,objective_delta,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-018,current,OBJ,easy,parsed,objective_delta,objective_delta,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-019,current,OBJ,easy,parsed,objective_value,objective_value,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-020,current,OBJ,medium,parsed,objective_delta,objective_delta,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-026,current,OBJ,medium,parsed,objective_delta,objective_delta,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-021,target_extension,OBJ,hard,parsed,objective_value,objective_value,partially_answerable,partially_answerable,partial_answer_with_warning,partial_answer_with_warning,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,1
R2-022,target_extension,OBJ,hard,parsed,objective_value,objective_value,partially_answerable,partially_answerable,partial_answer_with_warning,partial_answer_with_warning,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,1
R2-023,target_extension,OBJ,hard,parsed,objective_value,objective_value,partially_answerable,partially_answerable,partial_answer_with_warning,partial_answer_with_warning,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,1
R2-024,target_extension,OBJ,hard,parsed,objective_delta,objective_delta,partially_answerable,partially_answerable,partial_answer_with_warning,partial_answer_with_warning,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,1
R2-025,target_extension,OBJ,hard,parsed,objective_delta,objective_delta,partially_answerable,partially_answerable,partial_answer_with_warning,partial_answer_with_warning,1,1,1,1.0000,0.8000,1.0000,1.0000,1.0000,,1
R2-027,current,PLAN_VALIDITY,easy,parsed,feasibility_status,feasibility_status,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,0.2500,1.0000,1.0000,1.0000,,
R2-028,current,PLAN_VALIDITY,easy,parsed,feasibility_status,feasibility_status,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,0.2500,1.0000,1.0000,1.0000,,
R2-029,current,PLAN_VALIDITY,easy,parsed,feasibility_status,feasibility_status,answerable,answerable,direct_answer,direct_answer_with_warning,1,1,0,0.5000,0.2500,0.0000,1.0000,1.0000,,
R2-030,current,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,0.2500,1.0000,1.0000,1.0000,,
R2-031,current,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,0.2500,1.0000,1.0000,1.0000,,
R2-032,target_extension,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-033,target_extension,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-034,target_extension,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-035,target_extension,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-036,target_extension,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-037,current,STRUCT,easy,parsed,route_count,route_count,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-038,current,STRUCT,easy,parsed,route_count,route_count,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-039,current,STRUCT,medium,parsed,single_customer_route_membership,single_customer_route_membership,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-040,current,STRUCT,medium,parsed,single_customer_route_membership,new_customer_assignment,answerable,partially_answerable,direct_answer_with_warning,partial_answer_with_warning,0,0,0,0.5000,1.0000,0.0000,0.0000,1.0000,,
R2-041,current,STRUCT,medium,parsed,single_customer_route_membership,single_customer_route_membership,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-042,current,STRUCT,easy,parsed,before_after_comparison,before_after_comparison,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-043,current,STRUCT,easy,parsed,before_after_comparison,before_after_comparison,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,0.5000,0,
R2-044,current,STRUCT,medium,parsed,new_customer_assignment,new_customer_assignment,partially_answerable,partially_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-045,current,STRUCT,medium,parsed,single_customer_route_membership,single_customer_route_membership,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-046,current,STRUCT,medium,parsed,same_route_boolean,same_route_boolean,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-047,target_extension,STRUCT,hard,parsed,single_customer_route_membership,new_customer_assignment,not_answerable,not_answerable,useful_refusal,useful_refusal,0,1,1,0.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-048,target_extension,STRUCT,hard,parsed,full_route_listing,full_route_listing,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-049,target_extension,STRUCT,hard,parsed,full_route_listing,full_route_listing,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-050,current,SCHEDULE,easy,parsed,customer_arrival,customer_arrival,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-051,current,SCHEDULE,easy,parsed,lateness_summary,feasibility_status,answerable,partially_answerable,direct_answer,direct_answer_with_warning,0,0,0,0.3333,1.0000,0.0000,1.0000,1.0000,,
R2-052,current,SCHEDULE,medium,parsed,before_after_comparison,before_after_comparison,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-053,current,SCHEDULE,easy,parsed,lateness_summary,lateness_summary,answerable,answerable,direct_answer,direct_answer,1,1,1,0.4000,1.0000,1.0000,1.0000,1.0000,,
R2-054,current,SCHEDULE,easy,parsed,lateness_summary,lateness_summary,answerable,answerable,direct_answer,direct_answer,1,1,1,0.0000,0.0000,1.0000,1.0000,1.0000,,
R2-055,current,SCHEDULE,medium,parsed,route_end_time,route_end_time,answerable,answerable,direct_answer_with_warning,direct_answer,1,1,0,0.5000,1.0000,0.0000,0.0000,1.0000,,
R2-056,current,SCHEDULE,easy,parsed,customer_arrival,customer_arrival,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-057,current,SCHEDULE,medium,parsed,before_after_comparison,before_after_comparison,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-058,target_extension,SCHEDULE,hard,parsed,customer_arrival,customer_arrival,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-059,target_extension,SCHEDULE,hard,parsed,route_end_time,route_end_time,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-060,current,SCHEDULE,medium,parsed,route_end_time,route_end_time,answerable,answerable,direct_answer_with_warning,direct_answer,1,1,0,0.5000,1.0000,0.0000,0.0000,1.0000,,
