prompt_id,family,source,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken,template_id,prompt_text,op_validity_gradable,manual_review_required,selection_rationale
038,SCHEDULE,synthetic,RC101__TT_1,RC101,TT_1,TRAVEL_TIME,RC,Solomon,suff_accept,sufficient,accept,reuse_direct,SCHEDULE-1,Is anyone going to be late after travel times went up 10%?,True,False,family=SCHEDULE; quadrant=suff_accept; dataset=Solomon; slot=1/5; source=synthetic
039,SCHEDULE,llm_generated,RC202__ST_3,RC202,ST_3,SERVICE_TIME,RC,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,,Are all the stops going to be reached within their scheduled delivery windows?,True,False,family=SCHEDULE; quadrant=suff_escal; dataset=Solomon; slot=2/5; source=llm_generated
044,SCHEDULE,llm_generated,RC201__ST_2,RC201,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,,"Are the vehicles actually making it to their stops on time, or are they running late?",True,False,family=SCHEDULE; quadrant=insuff_accept; dataset=Solomon; slot=3/5; source=llm_generated
042,SCHEDULE,llm_generated,R202__TT_2,R202,TT_2,TRAVEL_TIME,R,Solomon,insuff_accept,insufficient,accept,reuse_direct,,Are any of the stops going to miss their delivery windows with the current plan?,True,False,family=SCHEDULE; quadrant=insuff_accept; dataset=Solomon; slot=4/5; source=llm_generated
048,SCHEDULE,llm_generated,RC1_2_1__ST_4,RC1_2_1,ST_4,SERVICE_TIME,RC,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,"Are the trucks still making it to their stops on time, or are we seeing late arrivals after the schedule change?",True,False,family=SCHEDULE; quadrant=insuff_escal; dataset=Homberger; slot=5/5; source=llm_generated
025,STRUCT,llm_generated,C104__OC_2,C104,OC_2,ORDER_CHANGE,C,Solomon,suff_accept,sufficient,accept,local_repair_insert,,"After adding the new customer, which route did they end up getting assigned to?",True,False,family=STRUCT; quadrant=suff_accept; dataset=Solomon; slot=1/5; source=llm_generated
028,STRUCT,synthetic,R102__OC_1,R102,OC_1,ORDER_CHANGE,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,STRUCT-1,How many routes does this end up needing after a new order came in?,True,False,family=STRUCT; quadrant=suff_escal; dataset=Solomon; slot=2/5; source=synthetic
032,STRUCT,synthetic,RC107__TW_1,RC107,TW_1,TIME_WINDOW,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,STRUCT-3,Are customers 12 and 17 still on the same route after the time windows got tighter?,True,False,family=STRUCT; quadrant=insuff_accept; dataset=Solomon; slot=3/5; source=synthetic
031,STRUCT,synthetic,C102__OC_1,C102,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,STRUCT-2,Which route is customer 42 on after a new order came in?,True,False,family=STRUCT; quadrant=insuff_accept; dataset=Solomon; slot=4/5; source=synthetic
036,STRUCT,llm_generated,RC1_2_2__TT_5,RC1_2_2,TT_5,TRAVEL_TIME,RC,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,Does the current solution actually use fewer vehicles than you'd expect from a clean run with these longer travel times?,False,False,family=STRUCT; quadrant=insuff_escal; dataset=Homberger; slot=5/5; source=llm_generated
