prompt_id,family,source,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken,template_id,prompt_text,op_validity_gradable,manual_review_required
016,PLAN_VALIDITY,synthetic,R104__TT_2,R104,TT_2,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,PV-1,Does this plan still work after travel times went up 20%?,True,False
017,PLAN_VALIDITY,synthetic,R207__TT_3,R207,TT_3,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,PV-2,Are we hitting any capacity issues after travel times went up 30%?,False,False
018,PLAN_VALIDITY,llm_generated,RC1_2_1__TW_5,RC1_2_1,TW_5,TIME_WINDOW,RC,Homberger,suff_escal,sufficient,escalate,pyvrp_10s,,"With the tighter delivery windows across the board, are all customers still reachable or do some have to be dropped from the schedule?",False,False
019,PLAN_VALIDITY,llm_generated,C201__OC_1,C201,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,,"After adding the new customer and running the quick fix, does the updated plan still work within all your route constraints?",True,False
020,PLAN_VALIDITY,llm_generated,RC103__ST_2,RC103,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,,"If jobs are taking longer to complete now, can all the stops on this route still be finished within their allowed windows?",False,True
021,PLAN_VALIDITY,synthetic,RC203__ST_2,RC203,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,PV-2,Are we hitting any capacity issues after service times went up 25%?,False,False
022,PLAN_VALIDITY,synthetic,C107__TW_4,C107,TW_4,TIME_WINDOW,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,PV-3,Did we end up dropping any customers after the time windows got tighter?,False,False
023,PLAN_VALIDITY,synthetic,R106__TW_4,R106,TW_4,TIME_WINDOW,R,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,PV-3,Did we end up dropping any customers after the time windows got tighter?,False,False
024,PLAN_VALIDITY,llm_generated,C1_2_1__ST_3,C1_2_1,ST_3,SERVICE_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,"With the longer service times at each stop, does this route plan still fit within the available working hours, or will some customers end up not getting visited?",False,False
025,STRUCT,llm_generated,C104__OC_2,C104,OC_2,ORDER_CHANGE,C,Solomon,suff_accept,sufficient,accept,local_repair_insert,,"After adding the new customer, which route did they end up getting assigned to?",True,False
026,STRUCT,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct,STRUCT-1,How many routes does this end up needing after the time windows got tighter?,True,False
027,STRUCT,llm_generated,C1_2_2__TW_5,C1_2_2,TW_5,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct,,Did the number of trucks needed change after we tightened the delivery windows?,False,False
028,STRUCT,synthetic,R102__OC_1,R102,OC_1,ORDER_CHANGE,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,STRUCT-1,How many routes does this end up needing after a new order came in?,True,False
029,STRUCT,synthetic,R201__TT_3,R201,TT_3,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,STRUCT-2,Which route is customer 42 on after travel times went up 30%?,True,False
030,STRUCT,llm_generated,R2_2_1__OC_5,R2_2_1,OC_5,ORDER_CHANGE,R,Homberger,suff_escal,sufficient,escalate,pyvrp_10s,,Which customers got assigned to each vehicle after the new stops were added?,True,False
031,STRUCT,synthetic,C102__OC_1,C102,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,STRUCT-2,Which route is customer 42 on after a new order came in?,True,False
032,STRUCT,synthetic,RC107__TW_1,RC107,TW_1,TIME_WINDOW,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,STRUCT-3,Are customers 12 and 17 still on the same route after the time windows got tighter?,True,False
033,STRUCT,llm_generated,RC107__TW_2,RC107,TW_2,TIME_WINDOW,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,,"After tightening the time windows, did the number of vehicles needed actually change?",False,False
034,STRUCT,synthetic,R112__OC_1,R112,OC_1,ORDER_CHANGE,R,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,STRUCT-3,Are customers 12 and 17 still on the same route after a new order came in?,True,False
035,STRUCT,llm_generated,RC104__ST_4,RC104,ST_4,SERVICE_TIME,RC,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,,Does the current plan use the same number of vehicles as before the service time changes?,False,False
036,STRUCT,llm_generated,RC1_2_2__TT_5,RC1_2_2,TT_5,TRAVEL_TIME,RC,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,Does the current solution actually use fewer vehicles than you'd expect from a clean run with these longer travel times?,False,False
037,SCHEDULE,synthetic,C105__TT_4,C105,TT_4,TRAVEL_TIME,C,Solomon,suff_accept,sufficient,accept,reuse_direct,SCHEDULE-1,Is anyone going to be late after travel times went up 50%?,True,False
038,SCHEDULE,synthetic,RC101__TT_1,RC101,TT_1,TRAVEL_TIME,RC,Solomon,suff_accept,sufficient,accept,reuse_direct,SCHEDULE-1,Is anyone going to be late after travel times went up 10%?,True,False
039,SCHEDULE,llm_generated,RC202__ST_3,RC202,ST_3,SERVICE_TIME,RC,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,,Are all the stops going to be reached within their scheduled delivery windows?,True,False
040,SCHEDULE,synthetic,RC202__ST_4,RC202,ST_4,SERVICE_TIME,RC,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,SCHEDULE-2,What time does route 1 wrap up after service times went up 100%?,True,False
041,SCHEDULE,synthetic,RC2_2_1__OC_5,RC2_2_1,OC_5,ORDER_CHANGE,RC,Homberger,suff_escal,sufficient,escalate,pyvrp_10s,SCHEDULE-2,What time does route 1 wrap up after the new orders came in?,True,False
042,SCHEDULE,llm_generated,R202__TT_2,R202,TT_2,TRAVEL_TIME,R,Solomon,insuff_accept,insufficient,accept,reuse_direct,,Are any of the stops going to miss their delivery windows with the current plan?,True,False
043,SCHEDULE,synthetic,RC201__OC_2,RC201,OC_2,ORDER_CHANGE,RC,Solomon,insuff_accept,insufficient,accept,local_repair_insert,SCHEDULE-3,When does the driver reach customer 42 after a new order came in?,True,False
044,SCHEDULE,llm_generated,RC201__ST_2,RC201,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,,"Are the vehicles actually making it to their stops on time, or are they running late?",True,False
045,SCHEDULE,llm_generated,C107__TW_3,C107,TW_3,TIME_WINDOW,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,,Are all the stops still being reached within their delivery windows?,True,False
046,SCHEDULE,synthetic,RC201__OC_3,RC201,OC_3,ORDER_CHANGE,RC,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,SCHEDULE-3,When does the driver reach customer 42 after the new orders came in?,True,False
047,SCHEDULE,llm_generated,C2_2_2__ST_3,C2_2_2,ST_3,SERVICE_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,"Will the drivers actually make it to each stop on time, or are we looking at late arrivals?",True,False
048,SCHEDULE,llm_generated,RC1_2_1__ST_4,RC1_2_1,ST_4,SERVICE_TIME,RC,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,"Are the trucks still making it to their stops on time, or are we seeing late arrivals after the schedule change?",True,False
