prompt_id,family,source_planned,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken
014,PLAN_VALIDITY,llm_generated,R208__OC_3,R208,OC_3,ORDER_CHANGE,R,Solomon,suff_accept,sufficient,accept,local_repair_insert
015,PLAN_VALIDITY,synthetic,C2_2_1__TW_6,C2_2_1,TW_6,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct
016,PLAN_VALIDITY,synthetic,R104__TT_2,R104,TT_2,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
017,PLAN_VALIDITY,synthetic,R207__TT_3,R207,TT_3,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
018,PLAN_VALIDITY,llm_generated,RC1_2_1__TW_5,RC1_2_1,TW_5,TIME_WINDOW,RC,Homberger,suff_escal,sufficient,escalate,pyvrp_10s
019,PLAN_VALIDITY,llm_generated,C201__OC_1,C201,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert
020,PLAN_VALIDITY,llm_generated,RC103__ST_2,RC103,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct
021,PLAN_VALIDITY,synthetic,RC203__ST_2,RC203,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct
022,PLAN_VALIDITY,synthetic,C107__TW_4,C107,TW_4,TIME_WINDOW,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
023,PLAN_VALIDITY,synthetic,R106__TW_4,R106,TW_4,TIME_WINDOW,R,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
024,PLAN_VALIDITY,llm_generated,C1_2_1__ST_3,C1_2_1,ST_3,SERVICE_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s
025,STRUCT,llm_generated,C104__OC_2,C104,OC_2,ORDER_CHANGE,C,Solomon,suff_accept,sufficient,accept,local_repair_insert
026,STRUCT,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct
027,STRUCT,llm_generated,C1_2_2__TW_5,C1_2_2,TW_5,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct
028,STRUCT,synthetic,R102__OC_1,R102,OC_1,ORDER_CHANGE,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
029,STRUCT,synthetic,R201__TT_3,R201,TT_3,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
030,STRUCT,llm_generated,R2_2_1__OC_5,R2_2_1,OC_5,ORDER_CHANGE,R,Homberger,suff_escal,sufficient,escalate,pyvrp_10s
031,STRUCT,synthetic,C102__OC_1,C102,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert
032,STRUCT,synthetic,RC107__TW_1,RC107,TW_1,TIME_WINDOW,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct
033,STRUCT,llm_generated,RC107__TW_2,RC107,TW_2,TIME_WINDOW,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct
034,STRUCT,synthetic,R112__OC_1,R112,OC_1,ORDER_CHANGE,R,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
035,STRUCT,llm_generated,RC104__ST_4,RC104,ST_4,SERVICE_TIME,RC,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
036,STRUCT,llm_generated,RC1_2_2__TT_5,RC1_2_2,TT_5,TRAVEL_TIME,RC,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s
037,SCHEDULE,synthetic,C105__TT_4,C105,TT_4,TRAVEL_TIME,C,Solomon,suff_accept,sufficient,accept,reuse_direct
038,SCHEDULE,synthetic,RC101__TT_1,RC101,TT_1,TRAVEL_TIME,RC,Solomon,suff_accept,sufficient,accept,reuse_direct
039,SCHEDULE,llm_generated,RC202__ST_3,RC202,ST_3,SERVICE_TIME,RC,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
040,SCHEDULE,synthetic,RC202__ST_4,RC202,ST_4,SERVICE_TIME,RC,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
041,SCHEDULE,synthetic,RC2_2_1__OC_5,RC2_2_1,OC_5,ORDER_CHANGE,RC,Homberger,suff_escal,sufficient,escalate,pyvrp_10s
042,SCHEDULE,llm_generated,R202__TT_2,R202,TT_2,TRAVEL_TIME,R,Solomon,insuff_accept,insufficient,accept,reuse_direct
043,SCHEDULE,synthetic,RC201__OC_2,RC201,OC_2,ORDER_CHANGE,RC,Solomon,insuff_accept,insufficient,accept,local_repair_insert
044,SCHEDULE,llm_generated,RC201__ST_2,RC201,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct
045,SCHEDULE,llm_generated,C107__TW_3,C107,TW_3,TIME_WINDOW,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
046,SCHEDULE,synthetic,RC201__OC_3,RC201,OC_3,ORDER_CHANGE,RC,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
047,SCHEDULE,llm_generated,C2_2_2__ST_3,C2_2_2,ST_3,SERVICE_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s
048,SCHEDULE,llm_generated,RC1_2_1__ST_4,RC1_2_1,ST_4,SERVICE_TIME,RC,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s
