case_id,category,query,family,control_intent,treatment_intent,treatment_samples,treatment_tie_break,agreement,control_error,treatment_error
OP-057,evaluation,How bad is the impact?,OBJ,evaluate_plan_acceptability,unknown,evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_dimension_acceptability,False,False,,
OP-058,evaluation,"Is this normal for an OC perturbation, or unusually bad?",OBJ,evaluate_plan_acceptability,evaluate_plan_acceptability,evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability,False,True,,
OP-060,risk_fragility,What's most likely to go wrong next?,SCHEDULE,what_to_watch,what_to_watch,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-061,risk_fragility,How much margin do we have?,SCHEDULE,unknown,unknown,evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability,False,True,,
OP-062,risk_fragility,Which customer is the riskiest?,SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-063,risk_fragility,"If anything breaks, what'll go first?",SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-064,risk_fragility,What's the most fragile route?,SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-065,risk_fragility,Where's our safety net thinnest?,SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-066,risk_fragility,How much slack does route 2 have?,SCHEDULE,unknown,unknown,unknown|unknown|evaluate_dimension_acceptability|unknown|unknown,False,True,,
OP-068,risk_fragility,What's the smallest window in this plan?,SCHEDULE,unknown,unknown,unknown|evaluate_dimension_acceptability|unknown|unknown|unknown,False,True,,
OP-069,risk_fragility,Which customer has the tightest service-to-window gap?,SCHEDULE,unknown,unknown,unknown|unknown|unknown|unknown|unknown,False,True,,
OP-360,risk_fragility,how fragile is this plan,SCHEDULE,evaluate_plan_acceptability,evaluate_plan_acceptability,evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability,False,True,,
OP-361,risk_fragility,do we have buffer if things slip?,SCHEDULE,evaluate_dimension_acceptability,evaluate_dimension_acceptability,evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_plan_acceptability,False,True,,
OP-072,justification,Why didn't the solver use vehicle 4?,STRUCT,unknown,unknown,unknown|unknown|unknown|unknown|unknown,False,True,,
